; Katie Leatherby	0.06301450729370117	9651
; Jill Leatherby	0.05285048484802246	6117
; Hayley	0.13000798225402832	17962
; Claire	0.15698790550231934	17458
; Sophia	0.5284178256988525	59317
; Andrea Wadd	0.003000020980834961	347
; Felicia McCalman	0.26405954360961914	34609
; Alice	0.3160839080810547	34058
; Stephanie	2.994297981262207	313104
; Lucy Leatherby	2.0107598304748535	210356
; Christina Gauge	5.735831022262573	579095
; Dianne	3.8029944896698	393037
; Emily McKiddie	1.258296251296997	136086
; Belinda Leatherby	2.2421014308929443	237194
; Kristi	2.9195258617401123	310571
; Jessica	5.905149459838867	588151
; Hillary	0.9312093257904053	101903
; Sarah McKiddie	1.1252524852752686	127489
; Harriet Gauge	16.67669129371643	1589364
; Michelle	0.013003349304199219	1807
; Jennifer Silsbury	3.0036752223968506	328315
; Jasmine	2.0117268562316895	235296
; Zoe	11.283565044403076	1134925
; Kelly	8.111165523529053	852836
; Katherine	6.398145437240601	700575
; Cecile Clayworth	62.56811499595642	4095779
; Alison	8.938961505889893	765120
; Tara Gelson	29.04890251159668	2073784
; Rebecca	0.3700840473175049	36896
; Helena Wadd	14.779022216796875	1255228
; Tiffany Gauge	68.59717798233032	4553394
